TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
CHI,2021-03-22,NOP,"GOBERT, RUDY",33,16,16,6,10,2,2,2,2,8,11,0.7272727273,0,0,NA,0,1,0,5,NOP,0,38,NA,112,119,28.7369863,L,20-21
CLE,2020-12-09,IND,"THOMPSON, TRISTAN",30,13,16,4,12,2,0,1,0,6,11,0.5454545455,0,0,NA,1,2,0.5,1,IND,0,32,NA,77,115,29.74246575,L,20-21
CLE,2021-01-19,ORL,"THOMPSON, TRISTAN",33,13,16,3,13,4,0,1,1,6,12,0.5,0,0,NA,1,2,0.5,2,ORL,0,34,NA,104,102,29.85479452,W,20-21
CLE,2021-02-05,ATL,"THOMPSON, TRISTAN",33,10,16,2,14,3,1,3,1,4,10,0.4,0,0,NA,2,2,1,3,ATL,0,33,NA,97,123,29.90136986,L,20-21
CLE,2021-02-13,@TOR,"THOMPSON, TRISTAN",30,3,16,3,13,0,0,0,1,1,5,0.2,0,0,NA,1,1,1,1,TOR,0,19,NA,97,106,29.92328767,L,20-21
CLE,2021-02-22,@DET,"THOMPSON, TRISTAN",32,10,16,2,14,0,1,2,0,4,8,0.5,0,0,NA,2,2,1,3,DET,0,29,NA,119,102,29.94794521,W,20-21
CLE,2021-03-12,@DET,"THOMPSON, TRISTAN",31,14,16,4,12,2,1,1,0,7,12,0.5833333333,0,0,NA,0,1,0,2,DET,0,34,NA,107,101,29.99726027,W,20-21
CLE,2021-03-15,TOR,"THOMPSON, TRISTAN",29,14,16,8,8,1,0,1,0,6,10,0.6,0,0,NA,2,5,0.4,4,TOR,0,32,NA,97,120,30.00547945,L,20-21
DAL,2021-02-23,LAL,"DONCIC, LUKA",38,30,16,6,10,11,1,0,0,8,20,0.4,5,13,0.3846153846,9,12,0.75,2,LAL,1,58,NA,126,104,21.9863388,W,20-21
DAL,2021-03-24,@CHA,"BRYANT, THOMAS",35,23,16,3,13,4,2,0,0,9,19,0.4736842105,3,4,0.75,2,4,0.5,0,CHA,0,45,NA,117,81,23.64657534,W,20-21
