TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,SEASON
ATL,2021-11-26,@MEM,"FORBES, BRYN",6,6,1,0,1,0,0,0,0,2,5,0.4,2,5,0.4,0,0,NA,1,MEM,0,7,NA,116,130,28.34520548,L,REG,21-22
ATL,2021-11-26,@MEM,"HARDAWAY, TIM",30,4,2,0,2,2,0,0,5,1,6,0.1666666667,0,4,0,2,4,0.5,4,MEM,0,8,NA,116,130,23.79726027,L,REG,21-22
ATL,2021-11-26,@MEM,"DAVIS, ANTHONY",25,4,8,1,7,3,1,3,2,2,8,0.25,0,0,NA,0,0,NA,6,MEM,0,19,NA,116,130,28.71232877,L,REG,21-22
ATL,2021-11-26,@MEM,"ZELLER, CODY",26,4,3,3,0,2,1,1,1,2,6,0.3333333333,0,0,NA,0,0,NA,4,MEM,0,11,NA,116,130,29.14246575,L,REG,21-22
ATL,2021-11-26,@MEM,"BRADLEY, TONY",12,4,1,0,1,0,0,1,0,1,2,0.5,0,0,NA,2,4,0.5,2,MEM,0,6,NA,116,130,23.88219178,L,REG,21-22
ATL,2021-11-27,NYK,"YOUNG, TRAE",35,29,3,0,3,6,0,0,1,9,15,0.6,2,4,0.5,9,12,0.75,2,NYK,0,38,NA,120,101,23.1890411,W,REG,21-22
ATL,2021-11-27,NYK,"GEORGE, PAUL",31,27,7,2,5,7,1,2,4,9,16,0.5625,2,5,0.4,7,8,0.875,2,NYK,0,44,NA,120,101,31.57260274,W,REG,21-22
ATL,2021-11-27,NYK,"DAVIS, ANTHONY",31,15,10,1,9,8,2,3,0,6,14,0.4285714286,1,3,0.3333333333,2,4,0.5,0,NYK,0,38,NA,120,101,28.71506849,W,REG,21-22
ATL,2021-11-27,NYK,"GRANT, JERAMI",31,13,10,2,8,2,0,1,1,6,11,0.5454545455,1,3,0.3333333333,0,0,NA,3,NYK,0,26,NA,120,101,27.71232877,W,REG,21-22
ATL,2021-11-27,NYK,"POWELL, NORMAN",22,11,3,0,3,1,0,0,2,2,9,0.2222222222,1,5,0.2,6,7,0.8571428571,2,NYK,0,15,NA,120,101,28.50958904,W,REG,21-22
