TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
ATL,2021-07-25,@DAL,"SNELL, TONY",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,DAL,0,0,NA,155,97,29.70410959,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"MILLER, DARIUS",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,DAL,0,0,NA,155,97,31.34520548,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"KNIGHT, NATHAN",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,DAL,0,0,NA,155,97,23.84383562,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"MULDER, MYCHAL",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,DAL,0,0,NA,155,97,27.11780822,W,PLAYOFF,4,4,20-21
BKN,2021-06-03,BOS,"DURANT, KEVIN",36,34,3,0,3,6,2,3,2,14,25,0.56,6,12,0.5,0,0,NA,0,BOS,0,48,NA,127,136,32.67945205,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"JAMES, LEBRON",28,31,8,0,8,11,1,0,1,14,18,0.7777777778,1,2,0.5,2,2,1,1,BOS,0,51,NA,127,136,36.42465753,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"DINWIDDIE, SPENCER",31,20,1,0,1,4,1,0,2,6,18,0.3333333333,1,5,0.2,7,7,1,1,BOS,0,26,NA,127,136,28.15890411,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"HARRIS, JOE",30,11,4,2,2,5,0,0,0,4,8,0.5,3,3,1,0,0,NA,2,BOS,0,20,NA,127,136,29.73972603,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"CAULEY-STEIN, WILLIE",27,11,9,2,7,2,1,0,1,3,4,0.75,0,1,0,5,6,0.8333333333,2,BOS,0,23,NA,127,136,27.79178082,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"CARUSO, ALEX",18,8,0,0,0,3,1,0,2,3,7,0.4285714286,2,3,0.6666666667,0,0,NA,2,BOS,0,12,NA,127,136,27.26027397,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"GIBSON, TAJ",11,6,2,0,2,0,0,0,0,3,3,1,0,0,NA,0,0,NA,1,BOS,0,8,NA,127,136,35.94246575,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"COVINGTON, ROBERT",30,4,2,0,2,0,0,0,0,2,4,0.5,0,1,0,0,0,NA,1,BOS,0,6,NA,127,136,30.46849315,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"ALDRIDGE, LAMARCUS",18,2,4,0,4,1,2,0,0,1,2,0.5,0,1,0,0,0,NA,1,BOS,0,9,NA,127,136,35.8739726,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"HOUSE, DANUEL",6,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,NA,0,BOS,0,0,NA,127,136,27.9890411,L,PLAYOFF,1,1,20-21
BKN,2021-06-03,BOS,"OKAFOR, JAHLIL",5,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,NA,0,BOS,0,1,NA,127,136,25.46575342,L,PLAYOFF,1,1,20-21
BKN,2021-06-07,BOS,"JAMES, LEBRON",35,43,10,0,10,11,2,0,1,17,20,0.85,1,4,0.25,8,10,0.8,1,BOS,1,66,NA,135,101,36.43561644,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"DURANT, KEVIN",24,26,6,0,6,5,2,1,1,10,13,0.7692307692,4,5,0.8,2,2,1,2,BOS,0,40,NA,135,101,32.69041096,W,PLAYOFF,2,1,20-21
