TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,12/15/2021,@ORL,"GRANT, JERAMI",23,19,4,1,3,1,0,1,3,8,12,0.6666666667,1,2,0.5,2,4,0.5,1,ORL,0,25,,118,97,27.76164384,W,REG
ATL,12/15/2021,@ORL,"GEORGE, PAUL",33,18,12,0,12,4,0,1,1,8,17,0.4705882353,2,7,0.2857142857,0,0,,4,ORL,0,35,,118,97,31.62191781,W,REG
ATL,12/15/2021,@ORL,"DAVIS, ANTHONY",31,18,8,4,4,3,1,1,0,8,13,0.6153846154,0,1,0,2,4,0.5,2,ORL,0,31,,118,97,28.76438356,W,REG
ATL,12/15/2021,@ORL,"ANTHONY, CARMELO",29,17,3,0,3,2,3,0,1,4,6,0.6666666667,2,4,0.5,7,9,0.7777777778,2,ORL,0,25,,118,97,37.54794521,W,REG
ATL,12/15/2021,@ORL,"POWELL, NORMAN",28,8,2,0,2,1,0,0,2,3,9,0.3333333333,2,4,0.5,0,0,,3,ORL,0,11,,118,97,28.55890411,W,REG
ATL,12/15/2021,@ORL,"HARDAWAY, TIM",21,7,4,0,4,1,1,0,6,2,8,0.25,1,5,0.2,2,3,0.6666666667,1,ORL,0,13,,118,97,23.84931507,W,REG
ATL,12/15/2021,@ORL,"CALDWELL-POPE, KENTAVIOUS",10,4,3,0,3,1,1,0,0,1,2,0.5,0,1,0,2,2,1,0,ORL,0,9,,118,97,28.82191781,W,REG
ATL,12/15/2021,@ORL,"ZELLER, CODY",13,3,6,3,3,0,0,0,0,0,1,0,0,0,,3,4,0.75,1,ORL,0,9,,118,97,29.19452055,W,REG
ATL,12/15/2021,@ORL,"FORBES, BRYN",6,3,0,0,0,0,0,0,0,1,3,0.3333333333,1,3,0.3333333333,0,0,,1,ORL,0,3,,118,97,28.39726027,W,REG
ATL,12/15/2021,@ORL,"SMITH, ISH",11,1,4,0,4,3,0,0,0,0,0,,0,0,,1,2,0.5,2,ORL,0,8,,118,97,33.44657534,W,REG
ATL,12/17/2021,DEN,"YOUNG, TRAE",32,33,6,0,6,5,1,0,1,10,19,0.5263157895,4,7,0.5714285714,9,10,0.9,1,DEN,0,45,,129,115,23.24383562,W,REG
ATL,12/17/2021,DEN,"GEORGE, PAUL",30,16,4,0,4,6,3,1,0,6,14,0.4285714286,1,8,0.125,3,3,1,2,DEN,0,30,,129,115,31.62739726,W,REG
ATL,12/17/2021,DEN,"ANTHONY, CARMELO",29,13,3,0,3,1,1,1,4,5,9,0.5555555556,3,5,0.6,0,0,,1,DEN,0,19,,129,115,37.55342466,W,REG
ATL,12/17/2021,DEN,"DAVIS, ANTHONY",32,12,9,2,7,4,2,2,2,4,8,0.5,1,3,0.3333333333,3,5,0.6,3,DEN,0,29,,129,115,28.76986301,W,REG
ATL,12/17/2021,DEN,"HARDAWAY, TIM",22,11,2,0,2,0,0,0,0,4,9,0.4444444444,3,7,0.4285714286,0,0,,1,DEN,0,13,,129,115,23.85479452,W,REG
ATL,12/17/2021,DEN,"GRANT, JERAMI",24,11,3,0,3,5,3,0,3,5,9,0.5555555556,0,1,0,1,1,1,3,DEN,0,22,,129,115,27.76712329,W,REG
ATL,12/17/2021,DEN,"POWELL, NORMAN",28,9,0,0,0,3,2,0,0,3,9,0.3333333333,2,6,0.3333333333,1,2,0.5,2,DEN,0,14,,129,115,28.56438356,W,REG
ATL,12/17/2021,DEN,"FORBES, BRYN",8,9,0,0,0,0,0,0,2,3,4,0.75,1,2,0.5,2,3,0.6666666667,0,DEN,0,9,,129,115,28.40273973,W,REG
ATL,12/17/2021,DEN,"ZELLER, CODY",15,7,6,2,4,4,2,0,2,3,3,1,0,0,,1,2,0.5,1,DEN,0,19,,129,115,29.2,W,REG
ATL,12/17/2021,DEN,"SMITH, ISH",10,4,2,0,2,1,1,0,0,2,2,1,0,0,,0,0,,1,DEN,0,8,,129,115,33.45205479,W,REG
ATL,12/17/2021,DEN,"CALDWELL-POPE, KENTAVIOUS",10,4,0,0,0,0,1,1,0,1,4,0.25,0,2,0,2,2,1,0,DEN,0,6,,129,115,28.82739726,W,REG
ATL,12/19/2021,CLE,"YOUNG, TRAE",35,27,4,0,4,5,2,0,2,10,18,0.5555555556,3,6,0.5,4,4,1,2,CLE,0,38,,103,118,23.24931507,L,REG
ATL,12/19/2021,CLE,"GEORGE, PAUL",32,18,4,0,4,8,6,0,6,6,12,0.5,4,8,0.5,2,2,1,1,CLE,0,36,,103,118,31.63287671,L,REG
ATL,12/19/2021,CLE,"HARDAWAY, TIM",21,18,2,0,2,1,1,0,0,7,11,0.6363636364,1,5,0.2,3,4,0.75,2,CLE,0,22,,103,118,23.86027397,L,REG
ATL,12/19/2021,CLE,"GRANT, JERAMI",22,14,4,0,4,3,0,2,3,6,11,0.5454545455,0,2,0,2,2,1,4,CLE,0,23,,103,118,27.77260274,L,REG
ATL,12/19/2021,CLE,"DAVIS, ANTHONY",31,13,14,5,9,2,1,3,3,6,15,0.4,1,2,0.5,0,0,,0,CLE,0,33,,103,118,28.77534247,L,REG
ATL,12/19/2021,CLE,"POWELL, NORMAN",30,7,2,0,2,1,2,0,1,3,7,0.4285714286,1,2,0.5,0,0,,2,CLE,0,12,,103,118,28.56986301,L,REG
ATL,12/19/2021,CLE,"ANTHONY, CARMELO",29,2,3,0,3,0,4,0,1,1,7,0.1428571429,0,1,0,0,0,,4,CLE,0,9,,103,118,37.55890411,L,REG
ATL,12/19/2021,CLE,"ZELLER, CODY",12,2,4,2,2,3,1,0,1,1,2,0.5,0,0,,0,0,,0,CLE,0,10,,103,118,29.20547945,L,REG
ATL,12/19/2021,CLE,"SMITH, ISH",11,2,2,0,2,0,0,0,1,1,3,0.3333333333,0,0,,0,0,,1,CLE,0,4,,103,118,33.45753425,L,REG
ATL,12/19/2021,CLE,"CALDWELL-POPE, KENTAVIOUS",10,0,0,0,0,0,0,0,1,0,2,0,0,0,,0,0,,0,CLE,0,0,,103,118,28.83287671,L,REG
ATL,12/19/2021,CLE,"FORBES, BRYN",7,0,1,0,1,1,0,0,0,0,0,,0,0,,0,0,,0,CLE,0,2,,103,118,28.40821918,L,REG
