TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
MIL,12/24/2020,@OKC,"ANTETOKOUNMPO, GIANNIS",35,14,19,7,12,6,1,2,1,5,18,0.2777777778,3,9,0.3333333333,1,4,0.25,0,OKC,0,42,,111,94,26.04931507,W
MIL,1/1/2021,@CHI,"ANTETOKOUNMPO, GIANNIS",36,21,19,6,13,9,1,2,1,8,11,0.7272727273,3,5,0.6,2,4,0.5,4,CHI,0,52,,115,89,26.07123288,W
MIL,4/7/2021,PHI,"ANTETOKOUNMPO, GIANNIS",36,30,19,3,16,5,1,2,3,12,20,0.6,2,4,0.5,4,7,0.5714285714,3,PHI,0,57,,132,112,26.33424658,W
MIN,3/19/2021,@SAC,"TOWNS, KARL-ANTHONY",31,23,19,2,17,1,0,5,2,9,17,0.5294117647,2,2,1,3,4,0.75,4,SAC,0,48,,106,128,25.33972603,L
NOP,1/14/2021,OKC,"ALLEN, JARRETT",32,17,19,11,8,2,0,1,3,7,10,0.7,0,0,,3,6,0.5,2,OKC,0,39,,100,112,22.73424658,L
NOP,3/18/2021,@HOU,"ALLEN, JARRETT",31,16,19,5,14,2,0,5,0,7,12,0.5833333333,0,1,0,2,2,1,0,HOU,0,42,,122,90,22.90684932,W
NYK,12/9/2020,BOS,"ROBINSON, MITCHELL",32,19,19,6,13,0,0,3,4,5,11,0.4545454545,0,0,,9,12,0.75,4,BOS,0,41,,86,92,22.69041096,L
PHX,12/3/2020,@MIN,"AYTON, DEANDRE",33,16,19,3,16,5,0,1,1,7,13,0.5384615385,0,0,,2,2,1,3,MIN,0,41,,121,96,22.36438356,W
PHX,1/10/2021,WAS,"AYTON, DEANDRE",34,14,19,6,13,3,1,5,0,7,17,0.4117647059,0,0,,0,0,,4,WAS,0,42,,131,97,22.46849315,W
PHX,5/23/2021,@NOP,"AYTON, DEANDRE",38,13,19,7,12,2,1,2,2,6,10,0.6,0,1,0,1,2,0.5,0,NOP,0,37,,113,130,22.83287671,L
POR,3/16/2021,@LAL,"NURKIC, JUSUF",30,10,19,5,14,3,3,1,2,5,12,0.4166666667,0,0,,0,0,,0,LAL,0,36,,136,106,26.56164384,W
SAC,1/7/2021,@WAS,"CAPELA, CLINT",32,6,19,8,11,2,1,1,2,2,7,0.2857142857,0,0,,2,4,0.5,5,WAS,0,29,,115,112,26.64109589,W
SAC,2/5/2021,HOU,"CAPELA, CLINT",38,4,19,6,13,1,0,2,3,2,11,0.1818181818,0,0,,0,0,,3,HOU,0,26,,116,136,26.72054795,L
SAC,3/23/2021,MIA,"CAPELA, CLINT",37,18,19,6,13,0,0,1,0,8,11,0.7272727273,0,0,,2,2,1,2,MIA,0,38,,125,115,26.84657534,W
SAC,4/7/2021,@LAC,"CAPELA, CLINT",41,10,19,5,14,2,1,3,2,4,10,0.4,0,0,,2,2,1,2,LAC,0,35,,94,114,26.88767123,L
SAS,2/3/2021,LAC,"ADAMS, STEVEN",29,15,19,8,11,2,0,0,1,7,10,0.7,0,0,,1,3,0.3333333333,0,LAC,0,36,,118,105,27.54246575,W
UTA,1/22/2021,OKC,"CARTER, WENDELL",27,16,19,7,12,1,0,0,0,7,8,0.875,0,0,,2,2,1,2,OKC,0,36,,123,99,21.76986301,W
WAS,1/16/2021,ORL,"PORZINGIS, KRISTAPS",36,20,19,3,16,0,0,3,0,8,17,0.4705882353,2,8,0.25,2,4,0.5,2,ORL,0,42,,103,109,25.45753425,L
WAS,1/27/2021,@MEM,"PORZINGIS, KRISTAPS",35,31,19,6,13,2,0,3,3,10,16,0.625,7,13,0.5384615385,4,4,1,3,MEM,0,55,,127,96,25.48767123,W
ATL,5/9/2021,@GSW,"DAVIS, ANTHONY",39,17,18,4,14,5,1,4,4,7,15,0.4666666667,1,4,0.25,2,2,1,3,GSW,0,45,,115,133,28.16164384,L
ATL,5/15/2021,NOP,"HOLMES, RICHAUN",35,0,18,3,15,3,0,2,1,0,4,0,0,2,0,0,0,,2,NOP,0,23,,124,128,27.58082192,L
BOS,3/25/2021,@OKC,"VALANCIUNAS, JONAS",34,8,18,7,11,4,0,1,2,4,8,0.5,0,0,,0,2,0,3,OKC,0,31,,112,81,28.88493151,W
BOS,3/27/2021,@HOU,"VALANCIUNAS, JONAS",33,17,18,5,13,4,0,2,0,7,10,0.7,1,1,1,2,2,1,1,HOU,0,41,,134,106,28.89041096,W
BOS,4/20/2021,UTA,"VALANCIUNAS, JONAS",34,19,18,8,10,3,0,0,1,8,11,0.7272727273,0,0,,3,4,0.75,1,UTA,0,40,,117,116,28.95616438,W
BOS,5/20/2021,MIL,"STEWART, ISAIAH",35,8,18,6,12,0,1,1,4,4,12,0.3333333333,0,0,,0,0,,2,MIL,0,28,,85,120,19.99452055,L
CHI,12/17/2020,@IND,"GOBERT, RUDY",36,4,18,6,12,0,0,1,1,2,8,0.25,0,0,,0,0,,2,IND,0,23,,83,107,28.47671233,L
CHI,2/3/2021,@DET,"GOBERT, RUDY",37,7,18,5,13,1,0,3,0,3,6,0.5,0,0,,1,2,0.5,1,DET,0,29,,124,121,28.60821918,W
CHI,2/10/2021,ATL,"GOBERT, RUDY",31,4,18,7,11,0,0,2,2,2,7,0.2857142857,0,0,,0,2,0,1,ATL,0,24,,108,97,28.62739726,W
CLE,12/24/2020,@NYK,"THOMPSON, TRISTAN",31,2,18,5,13,0,1,0,2,0,9,0,0,1,0,2,4,0.5,4,NYK,0,21,,97,82,29.78356164,W
CLE,2/10/2021,@MIN,"THOMPSON, TRISTAN",37,8,18,5,13,1,1,1,1,3,7,0.4285714286,0,0,,2,3,0.6666666667,3,MIN,0,29,,122,124,29.91506849,L
CLE,3/17/2021,GSW,"THOMPSON, TRISTAN",32,6,18,5,13,1,0,2,4,3,10,0.3,0,0,,0,2,0,4,GSW,0,27,,108,107,30.0109589,W
DAL,1/14/2021,@LAL,"DRUMMOND, ANDRE",31,18,18,6,12,3,1,0,2,8,16,0.5,0,0,,2,4,0.5,4,LAL,0,40,,111,132,27.43013699,L
DAL,1/29/2021,@MIL,"DRUMMOND, ANDRE",38,26,18,10,8,4,3,3,3,10,19,0.5263157895,0,0,,6,9,0.6666666667,2,MIL,0,54,,110,132,27.47123288,L
DAL,2/13/2021,@OKC,"DRUMMOND, ANDRE",36,20,18,6,12,1,2,2,1,10,15,0.6666666667,0,0,,0,1,0,5,OKC,0,43,,115,103,27.51232877,W
DAL,3/16/2021,@HOU,"DRUMMOND, ANDRE",30,18,18,5,13,3,3,4,1,7,14,0.5,0,2,0,4,5,0.8,1,HOU,0,46,,127,115,27.59726027,W
DAL,4/6/2021,@ORL,"MCGEE, JAVALE",30,17,18,8,10,2,0,4,0,7,7,1,0,0,,3,5,0.6,3,ORL,0,41,,115,104,33.2109589,W
DAL,4/30/2021,@LAC,"DRUMMOND, ANDRE",34,23,18,5,13,2,0,2,4,10,23,0.4347826087,0,0,,3,6,0.5,3,LAC,0,45,,127,107,27.72054795,W
DEN,4/21/2021,@CLE,"JOKIC, NIKOLA",33,24,18,6,12,11,0,1,3,9,16,0.5625,3,6,0.5,3,5,0.6,3,CLE,1,54,,131,91,26.16712329,W
DET,4/18/2021,OKC,"WOOD, CHRISTIAN",32,27,18,1,17,0,0,1,2,10,20,0.5,2,6,0.3333333333,5,6,0.8333333333,2,OKC,0,46,,104,94,25.55616438,W
GSW,12/31/2020,@NOP,"JORDAN, DEANDRE",32,12,18,1,17,5,0,5,0,5,7,0.7142857143,0,0,,2,2,1,1,NOP,0,40,,125,99,32.44657534,W
GSW,1/10/2021,CHI,"JORDAN, DEANDRE",31,4,18,9,9,1,0,2,0,2,4,0.5,0,0,,0,0,,5,CHI,0,25,,112,114,32.4739726,L
HOU,2/24/2021,MIN,"VUCEVIC, NIKOLA",33,28,18,8,10,2,0,1,0,12,19,0.6315789474,4,8,0.5,0,0,,2,MIN,0,49,,117,132,30.3369863,L
IND,1/24/2021,BOS,"SABONIS, DOMANTAS",32,16,18,3,15,5,0,0,3,7,12,0.5833333333,0,0,,2,2,1,2,BOS,0,39,,120,84,24.72876712,W
IND,3/11/2021,@POR,"SABONIS, DOMANTAS",37,18,18,2,16,7,2,1,0,7,16,0.4375,0,0,,4,5,0.8,5,POR,0,46,,119,82,24.85479452,W
LAC,3/13/2021,@LAL,"GREEN, JAMYCHAL",37,19,18,11,7,1,0,0,0,7,10,0.7,3,4,0.75,2,2,1,3,LAL,0,38,,128,125,30.7260274,W
LAC,3/25/2021,@CLE,"GREEN, JAMYCHAL",38,15,18,4,14,2,0,0,1,4,6,0.6666666667,3,5,0.6,4,6,0.6666666667,5,CLE,0,35,,118,94,30.75890411,W
LAL,3/7/2021,@NYK,"COLLINS, JOHN",37,15,18,6,12,2,2,2,1,5,11,0.4545454545,1,3,0.3333333333,4,4,1,5,NYK,0,39,,133,102,23.45205479,W
LAL,5/12/2021,@WAS,"GOBERT, RUDY",39,27,18,3,15,1,0,2,1,12,20,0.6,0,0,,3,6,0.5,1,WAS,0,48,,121,122,28.87671233,L
MIA,1/8/2021,CHA,"ADEBAYO, BAM",36,20,18,5,13,6,0,3,1,8,14,0.5714285714,0,0,,4,5,0.8,3,CHA,0,47,,141,97,23.47671233,W
