TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
IND,1/17/2021,@OKC,"WARREN, TJ",25,16,4,1,3,0,1,0,0,5,9,0.5555555556,1,2,0.5,5,7,0.7142857143,2,OKC,0,21,,104,98,27.36712329,W
IND,1/17/2021,@OKC,"BLEDSOE, ERIC",31,13,4,0,4,5,1,0,2,6,13,0.4615384615,1,7,0.1428571429,0,0,,2,OKC,0,23,,104,98,31.10684932,W
IND,1/17/2021,@OKC,"WILLIAMS, ROBERT",9,0,4,2,2,0,2,0,1,0,1,0,0,0,,0,0,,1,OKC,0,6,,104,98,23.25205479,W
IND,1/19/2021,@DET,"BROGDON, MALCOLM",35,19,4,0,4,4,2,0,4,6,17,0.3529411765,1,6,0.1666666667,6,6,1,3,DET,0,29,,118,99,28.10684932,W
IND,1/19/2021,@DET,"PASCHALL, ERIC",23,11,4,2,2,2,1,0,1,4,5,0.8,0,0,,3,4,0.75,0,DET,0,18,,118,99,24.20821918,W
IND,1/19/2021,@DET,"OTURU, DANIEL",10,4,4,0,4,2,0,0,2,2,3,0.6666666667,0,0,,0,0,,2,DET,0,10,,118,99,21.33150685,W
IND,1/20/2021,@NYK,"WARREN, TJ",27,20,4,1,3,0,2,1,0,8,15,0.5333333333,3,8,0.375,1,2,0.5,1,NYK,0,27,,102,86,27.37534247,W
IND,1/22/2021,LAC,"LOPEZ, BROOK",27,9,4,1,3,1,0,0,0,3,9,0.3333333333,1,5,0.2,2,2,1,2,LAC,0,14,,77,107,32.8109589,L
IND,1/22/2021,LAC,"WIGGINS, ANDREW",26,5,4,0,4,3,0,2,3,1,11,0.09090909091,1,7,0.1428571429,2,2,1,0,LAC,0,14,,77,107,25.91256831,L
IND,1/26/2021,@ATL,"LOPEZ, BROOK",25,6,4,1,3,1,0,2,1,2,3,0.6666666667,0,1,0,2,2,1,2,ATL,0,13,,120,110,32.82191781,W
IND,1/26/2021,@ATL,"WIGGINS, ANDREW",31,22,4,1,3,0,0,1,2,8,16,0.5,5,7,0.7142857143,1,2,0.5,1,ATL,0,27,,120,110,25.92349727,W
IND,1/26/2021,@ATL,"BROGDON, MALCOLM",34,23,4,0,4,6,3,0,6,10,14,0.7142857143,3,5,0.6,0,0,,2,ATL,0,36,,120,110,28.1260274,W
IND,1/28/2021,CHA,"BROGDON, MALCOLM",35,29,4,1,3,6,0,0,1,10,18,0.5555555556,3,8,0.375,6,7,0.8571428571,5,CHA,0,39,,128,77,28.13150685,W
IND,1/28/2021,CHA,"WIGGINS, ANDREW",31,6,4,0,4,4,0,0,0,2,10,0.2,1,7,0.1428571429,1,4,0.25,1,CHA,0,14,,128,77,25.92896175,W
IND,1/30/2021,LAL,"WARREN, TJ",26,24,4,1,3,0,1,1,2,10,12,0.8333333333,2,3,0.6666666667,2,5,0.4,4,LAL,0,30,,124,105,27.40273973,W
IND,1/30/2021,LAL,"HALIBURTON, TYRESE",27,4,4,2,2,7,0,0,0,1,5,0.2,0,1,0,2,2,1,1,LAL,0,15,,124,105,20.92076503,W
IND,2/2/2021,SAC,"WIGGINS, ANDREW",32,23,4,2,2,2,3,0,1,8,17,0.4705882353,4,7,0.5714285714,3,4,0.75,1,SAC,0,32,,113,115,25.94262295,L
IND,2/2/2021,SAC,"LOPEZ, BROOK",26,10,4,1,3,2,0,1,1,4,9,0.4444444444,2,4,0.5,0,0,,3,SAC,0,17,,113,115,32.84109589,L
IND,2/4/2021,@MIL,"WIGGINS, ANDREW",37,18,4,0,4,0,1,1,1,8,15,0.5333333333,2,5,0.4,0,0,,3,MIL,0,24,,81,108,25.94808743,L
IND,2/9/2021,@MIA,"WARREN, TJ",27,14,4,2,2,1,0,0,2,6,12,0.5,0,3,0,2,2,1,3,MIA,0,19,,130,113,27.43013699,W
IND,2/10/2021,@NOP,"LOPEZ, BROOK",19,6,4,2,2,0,1,0,0,2,6,0.3333333333,0,0,,2,2,1,1,NOP,0,11,,88,107,32.8630137,L
IND,2/10/2021,@NOP,"WARREN, TJ",27,16,4,1,3,8,1,0,0,7,12,0.5833333333,2,4,0.5,0,0,,1,NOP,0,29,,88,107,27.43287671,L
IND,2/15/2021,DEN,"WIGGINS, ANDREW",35,25,4,0,4,3,1,2,3,8,13,0.6153846154,4,7,0.5714285714,5,7,0.7142857143,0,DEN,0,35,,123,105,25.97814208,W
IND,2/17/2021,@ATL,"BLEDSOE, ERIC",24,14,4,0,4,1,1,0,4,5,12,0.4166666667,2,6,0.3333333333,2,2,1,2,ATL,0,20,,101,110,31.19178082,L
IND,2/19/2021,@CHA,"HALIBURTON, TYRESE",26,10,4,0,4,4,0,0,1,2,6,0.3333333333,1,3,0.3333333333,5,6,0.8333333333,3,CHA,0,18,,121,83,20.97540984,W
IND,2/19/2021,@CHA,"LOPEZ, BROOK",26,15,4,1,3,1,0,0,1,5,8,0.625,3,5,0.6,2,2,1,5,CHA,0,20,,121,83,32.88767123,W
IND,2/23/2021,@CHI,"WIGGINS, ANDREW",32,23,4,0,4,5,0,3,1,8,15,0.5333333333,5,9,0.5555555556,2,2,1,1,CHI,0,35,,126,110,26,W
IND,2/26/2021,PHI,"LOPEZ, BROOK",26,3,4,0,4,1,1,4,1,0,2,0,0,1,0,3,3,1,0,PHI,0,13,,113,96,32.90684932,W
IND,2/28/2021,@MIN,"PASCHALL, ERIC",16,4,4,1,3,0,0,0,1,1,6,0.1666666667,0,1,0,2,2,1,1,MIN,0,8,,131,128,24.31780822,W
IND,2/28/2021,@MIN,"LOPEZ, BROOK",26,0,4,3,1,3,0,0,0,0,1,0,0,1,0,0,0,,3,MIN,0,7,,131,128,32.91232877,W
IND,3/2/2021,MIN,"BROGDON, MALCOLM",32,20,4,0,4,10,0,0,1,8,11,0.7272727273,0,1,0,4,4,1,1,MIN,0,34,,122,90,28.22191781,W
IND,3/2/2021,MIN,"BLEDSOE, ERIC",20,8,4,0,4,1,2,0,1,3,6,0.5,0,1,0,2,2,1,1,MIN,0,15,,122,90,31.22739726,W
IND,3/4/2021,@DEN,"WILLIAMS, ROBERT",21,5,4,2,2,0,0,1,2,1,2,0.5,0,0,,3,4,0.75,2,DEN,0,10,,90,107,23.37808219,L
IND,3/4/2021,@DEN,"BLEDSOE, ERIC",20,6,4,1,3,2,0,0,0,3,9,0.3333333333,0,4,0,0,0,,2,DEN,0,12,,90,107,31.23287671,L
IND,3/5/2021,@UTA,"WARREN, TJ",27,14,4,1,3,0,1,1,2,5,11,0.4545454545,1,5,0.2,3,3,1,0,UTA,0,20,,102,91,27.49589041,W
IND,3/9/2021,@GSW,"BROGDON, MALCOLM",34,15,4,0,4,8,1,0,1,5,11,0.4545454545,2,5,0.4,3,3,1,4,GSW,0,28,,118,120,28.24109589,L
IND,3/11/2021,@POR,"WARREN, TJ",29,4,4,1,3,1,1,0,0,1,6,0.1666666667,0,1,0,2,2,1,2,POR,0,10,,119,82,27.51232877,W
IND,3/14/2021,CHI,"WARREN, TJ",25,6,4,2,2,1,0,1,2,3,9,0.3333333333,0,2,0,0,0,,0,CHI,0,12,,104,93,27.52054795,W
IND,3/19/2021,DAL,"PASCHALL, ERIC",19,12,4,1,3,3,0,0,1,3,6,0.5,1,2,0.5,5,6,0.8333333333,2,DAL,0,19,,113,111,24.36986301,W
IND,3/19/2021,DAL,"WILLIAMS, ROBERT",21,2,4,0,4,1,2,0,0,0,3,0,0,0,,2,2,1,2,DAL,0,9,,113,111,23.41917808,W
IND,3/23/2021,TOR,"BROGDON, MALCOLM",37,18,4,2,2,10,1,0,2,5,16,0.3125,1,4,0.25,7,8,0.875,4,TOR,0,33,,101,89,28.27945205,W
IND,3/23/2021,TOR,"PASCHALL, ERIC",18,12,4,0,4,1,3,0,2,5,6,0.8333333333,1,1,1,1,1,1,3,TOR,0,20,,101,89,24.38082192,W
IND,3/24/2021,NOP,"WIGGINS, ANDREW",26,23,4,1,3,1,0,0,1,8,21,0.380952381,1,5,0.2,6,8,0.75,2,NOP,0,28,,105,97,26.07945205,W
IND,3/24/2021,NOP,"BROGDON, MALCOLM",30,13,4,1,3,4,4,0,0,5,15,0.3333333333,0,2,0,3,4,0.75,2,NOP,0,25,,105,97,28.28219178,W
IND,3/26/2021,BKN,"PASCHALL, ERIC",20,7,4,0,4,4,1,0,0,2,5,0.4,0,0,,3,3,1,2,BKN,0,16,,118,101,24.3890411,W
IND,3/26/2021,BKN,"WARREN, TJ",23,14,4,1,3,0,0,0,0,7,10,0.7,0,0,,0,0,,2,BKN,0,18,,118,101,27.55342466,W
IND,3/28/2021,MIL,"WARREN, TJ",28,16,4,0,4,0,2,0,1,6,11,0.5454545455,1,3,0.3333333333,3,4,0.75,1,MIL,0,22,,121,101,27.55890411,W
IND,4/6/2021,@NYK,"LOPEZ, BROOK",20,2,4,1,3,0,0,1,0,1,2,0.5,0,1,0,0,0,,3,NYK,0,7,,111,84,33.01369863,W
IND,4/10/2021,CHA,"BROGDON, MALCOLM",36,30,4,0,4,12,2,0,1,11,22,0.5,2,5,0.4,6,7,0.8571428571,3,CHA,0,48,,122,104,28.32876712,W
IND,4/10/2021,CHA,"WIGGINS, ANDREW",34,23,4,0,4,1,0,0,2,10,17,0.5882352941,3,7,0.4285714286,0,0,,2,CHA,0,28,,122,104,26.1260274,W
IND,4/12/2021,POR,"WIGGINS, ANDREW",40,20,4,1,3,3,1,1,2,8,22,0.3636363636,1,6,0.1666666667,3,4,0.75,1,POR,0,29,,87,99,26.13150685,L
IND,4/12/2021,POR,"MILLS, PATTY",16,5,4,0,4,4,1,0,0,1,4,0.25,1,1,1,2,2,1,0,POR,0,14,,87,99,32.66849315,L
IND,4/14/2021,@CLE,"PASCHALL, ERIC",22,13,4,1,3,1,1,0,0,4,7,0.5714285714,1,2,0.5,4,4,1,3,CLE,0,19,,108,96,24.44109589,W
IND,4/16/2021,@SAS,"PASCHALL, ERIC",22,11,4,0,4,2,0,0,1,4,11,0.3636363636,1,4,0.25,2,2,1,3,SAS,0,17,,108,102,24.44657534,W
IND,4/18/2021,@MIL,"LOPEZ, BROOK",20,6,4,1,3,2,0,0,0,2,8,0.25,2,5,0.4,0,0,,2,MIL,0,12,,99,102,33.04657534,L
IND,4/20/2021,@CHI,"MILLS, PATTY",26,4,4,0,4,4,0,0,3,1,7,0.1428571429,0,4,0,2,3,0.6666666667,3,CHI,0,12,,118,111,32.69041096,W
IND,4/20/2021,@CHI,"HALIBURTON, TYRESE",40,7,4,3,1,11,1,0,3,3,6,0.5,1,4,0.25,0,0,,2,CHI,0,23,,118,111,21.13972603,W
IND,4/22/2021,@DAL,"PASCHALL, ERIC",26,18,4,0,4,2,1,0,1,8,10,0.8,2,2,1,0,0,,2,DAL,0,25,,113,120,24.4630137,L
IND,4/24/2021,BOS,"WIGGINS, ANDREW",32,14,4,2,2,0,0,1,1,4,12,0.3333333333,1,5,0.2,5,6,0.8333333333,0,BOS,0,19,,91,114,26.16438356,L
IND,4/24/2021,BOS,"LOPEZ, BROOK",19,6,4,1,3,1,0,2,1,3,7,0.4285714286,0,0,,0,0,,2,BOS,0,13,,91,114,33.0630137,L
IND,4/28/2021,@PHI,"BROGDON, MALCOLM",33,19,4,1,3,8,2,0,1,8,14,0.5714285714,2,5,0.4,1,1,1,2,PHI,0,33,,122,107,28.37808219,W
IND,5/2/2021,GSW,"PASCHALL, ERIC",14,3,4,0,4,0,1,0,0,1,8,0.125,0,4,0,1,2,0.5,0,GSW,0,8,,111,106,24.49041096,W
IND,5/2/2021,GSW,"BIRCH, KHEM",11,2,4,1,3,0,0,1,0,1,1,1,0,0,,0,0,,1,GSW,0,7,,111,106,28.59178082,W
IND,5/4/2021,MIA,"LOPEZ, BROOK",19,7,4,1,3,0,2,5,1,0,0,,0,0,,7,7,1,2,MIA,0,18,,121,95,33.09041096,W
IND,5/5/2021,CLE,"PASCHALL, ERIC",14,4,4,1,3,1,0,0,1,2,4,0.5,0,1,0,0,0,,3,CLE,0,9,,107,98,24.49863014,W
IND,5/7/2021,PHX,"BIRCH, KHEM",16,3,4,0,4,1,0,1,0,1,1,1,0,0,,1,2,0.5,2,PHX,0,9,,105,96,28.60547945,W
IND,5/9/2021,@ORL,"LEONARD, KAWHI",38,28,4,0,4,5,3,1,5,7,14,0.5,1,6,0.1666666667,13,15,0.8666666667,5,ORL,0,41,,111,112,29.86027397,L
IND,5/9/2021,@ORL,"LOPEZ, BROOK",25,7,4,0,4,0,0,2,1,1,4,0.25,1,2,0.5,4,4,1,0,ORL,0,13,,111,112,33.10410959,L
IND,5/9/2021,@ORL,"BIRCH, KHEM",10,2,4,0,4,1,0,0,0,1,2,0.5,0,0,,0,0,,1,ORL,0,7,,111,112,28.6109589,L
IND,5/14/2021,@LAC,"THOMAS, ISAIAH",16,13,4,0,4,1,0,0,0,5,11,0.4545454545,2,3,0.6666666667,1,1,1,0,LAC,0,18,,118,104,32.2630137,W
IND,5/16/2021,@LAL,"LOPEZ, BROOK",21,12,4,3,1,0,2,1,2,3,5,0.6,0,2,0,6,6,1,3,LAL,0,19,,112,91,33.12328767,W
IND,5/18/2021,BKN,"PASCHALL, ERIC",16,9,4,1,3,1,0,0,1,3,5,0.6,0,1,0,3,3,1,2,BKN,0,14,,118,133,24.53424658,L
IND,5/20/2021,WAS,"LEONARD, KAWHI",38,26,4,0,4,4,2,0,4,10,18,0.5555555556,4,9,0.4444444444,2,4,0.5,5,WAS,0,36,,101,112,29.89041096,L
IND,5/20/2021,WAS,"WIGGINS, ANDREW",33,10,4,0,4,1,1,2,2,4,12,0.3333333333,1,7,0.1428571429,1,3,0.3333333333,1,WAS,0,18,,101,112,26.23561644,L
IND,5/20/2021,WAS,"LOPEZ, BROOK",20,5,4,0,4,1,0,1,1,1,4,0.25,1,4,0.25,2,2,1,1,WAS,0,11,,101,112,33.13424658,L
IND,5/22/2021,@BOS,"BIRCH, KHEM",10,1,4,2,2,0,1,1,0,0,0,,0,0,,1,2,0.5,0,BOS,0,7,,115,116,28.64657534,L
IND,5/25/2021,ORL,"BROGDON, MALCOLM",31,22,4,2,2,8,0,0,5,6,10,0.6,2,3,0.6666666667,8,9,0.8888888889,1,ORL,0,34,,126,110,28.45205479,W
IND,5/27/2021,SAS,"BIRCH, KHEM",10,4,4,1,3,0,1,0,0,1,1,1,0,0,,2,3,0.6666666667,0,SAS,0,9,,136,98,28.66027397,W
IND,5/29/2021,@WAS,"SUMNER, EDMOND",15,6,4,2,2,1,1,0,2,3,6,0.5,0,3,0,0,0,,1,WAS,0,12,,91,115,25.40821918,L
IND,5/29/2021,@WAS,"LOPEZ, BROOK",20,0,4,1,3,1,0,0,0,0,3,0,0,3,0,0,0,,3,WAS,0,5,,91,115,33.15890411,L
LAC,12/7/2020,@GSW,"GREEN, JAMYCHAL",15,7,4,0,4,1,0,0,2,1,2,0.5,0,1,0,5,5,1,5,GSW,0,12,,118,103,30.4630137,W
LAC,12/7/2020,@GSW,"MCGRUDER, RODNEY",8,0,4,1,3,1,0,0,0,0,1,0,0,0,,0,0,,0,GSW,0,5,,118,103,29.35890411,W
LAC,12/9/2020,@PHX,"MCGRUDER, RODNEY",8,2,4,0,4,1,0,0,1,1,3,0.3333333333,0,2,0,0,0,,0,PHX,0,7,,117,106,29.36438356,W
LAC,12/13/2020,@UTA,"GASOL, MARC",22,6,4,0,4,6,0,2,1,2,4,0.5,1,3,0.3333333333,1,3,0.3333333333,3,UTA,0,18,,102,112,35.8715847,L
LAC,12/14/2020,SAS,"BEVERLEY, PATRICK",25,5,4,1,3,1,0,0,1,2,3,0.6666666667,1,1,1,0,0,,6,SAS,0,10,,119,98,32.42465753,W
LAC,12/21/2020,POR,"GEORGE, PAUL",32,15,4,0,4,3,0,1,2,7,19,0.3684210526,1,10,0.1,0,0,,3,POR,0,23,,107,126,30.63835616,L
LAC,12/21/2020,POR,"GASOL, MARC",23,9,4,1,3,4,0,1,1,3,7,0.4285714286,1,2,0.5,2,2,1,3,POR,0,18,,107,126,35.89344262,L
LAC,12/25/2020,TOR,"GEORGE, PAUL",34,27,4,0,4,5,0,1,2,11,21,0.5238095238,5,11,0.4545454545,0,0,,2,TOR,0,37,,109,97,30.64931507,W
LAC,12/25/2020,TOR,"ZUBAC, IVICA",21,7,4,2,2,1,0,1,1,3,3,1,0,0,,1,2,0.5,3,TOR,0,13,,109,97,23.77260274,W
LAC,12/25/2020,TOR,"KABENGELE, MFIONDU",8,2,4,2,2,0,0,0,0,1,5,0.2,0,3,0,0,0,,1,TOR,0,6,,109,97,23.36438356,W
LAC,12/27/2020,@HOU,"LEONARD, KAWHI",32,35,4,0,4,3,0,0,3,13,23,0.5652173913,3,6,0.5,6,6,1,5,HOU,0,42,,110,134,29.49589041,L
LAC,12/28/2020,@NOP,"GASOL, MARC",25,2,4,1,3,4,1,2,1,1,1,1,0,0,,0,0,,2,NOP,0,13,,122,119,35.91256831,W
LAC,1/3/2021,BOS,"GREEN, JAMYCHAL",15,7,4,0,4,1,2,0,0,2,4,0.5,1,3,0.3333333333,2,2,1,2,BOS,0,14,,107,100,30.5369863,W
LAC,1/3/2021,BOS,"BEVERLEY, PATRICK",31,0,4,0,4,3,2,0,2,0,0,,0,0,,0,0,,1,BOS,0,9,,107,100,32.47945205,W
LAC,1/3/2021,BOS,"GASOL, MARC",22,0,4,0,4,0,1,1,2,0,2,0,0,1,0,0,0,,1,BOS,0,6,,107,100,35.92896175,W
LAC,1/7/2021,NOP,"LEONARD, KAWHI",33,31,4,0,4,7,4,2,2,12,22,0.5454545455,5,13,0.3846153846,2,2,1,0,NOP,0,48,,119,90,29.5260274,W
LAC,1/10/2021,@MEM,"WILLIAMS, LOU",34,32,4,1,3,7,0,0,0,13,19,0.6842105263,5,7,0.7142857143,1,2,0.5,2,MEM,0,43,,138,122,34.20547945,W
LAC,1/12/2021,@SAS,"GREEN, JAMYCHAL",16,15,4,0,4,0,0,1,0,4,9,0.4444444444,3,7,0.4285714286,4,4,1,2,SAS,0,20,,126,127,30.56164384,L
LAC,1/12/2021,@SAS,"GASOL, MARC",22,8,4,1,3,1,0,1,0,3,7,0.4285714286,2,6,0.3333333333,0,0,,1,SAS,0,14,,126,127,35.95355191,L
LAC,1/14/2021,WAS,"KABENGELE, MFIONDU",10,7,4,0,4,0,1,1,1,3,6,0.5,1,2,0.5,0,0,,0,WAS,0,13,,105,109,23.41917808,L
LAC,1/16/2021,POR,"GASOL, MARC",24,9,4,1,3,2,0,1,1,3,6,0.5,1,3,0.3333333333,2,2,1,6,POR,0,16,,96,93,35.96448087,W
LAC,1/22/2021,@IND,"LOWRY, KYLE",21,9,4,0,4,4,0,0,0,4,6,0.6666666667,1,3,0.3333333333,0,0,,0,IND,0,17,,107,77,34.83013699,W
LAC,1/22/2021,@IND,"MCGRUDER, RODNEY",19,3,4,0,4,0,0,0,0,1,7,0.1428571429,0,2,0,1,2,0.5,0,IND,0,7,,107,77,29.48493151,W
LAC,1/22/2021,@IND,"SPELLMAN, OMARI",17,0,4,0,4,1,1,0,0,0,4,0,0,0,,0,0,,0,IND,0,6,,107,77,23.50684932,W
LAC,1/24/2021,@TOR,"GEORGE, PAUL",33,21,4,1,3,4,1,2,7,7,17,0.4117647059,1,7,0.1428571429,6,7,0.8571428571,5,TOR,0,32,,122,116,30.73150685,W
LAC,1/24/2021,@TOR,"GASOL, MARC",31,10,4,1,3,3,1,3,3,3,6,0.5,0,1,0,4,5,0.8,1,TOR,0,21,,122,116,35.9863388,W
LAC,1/24/2021,@TOR,"GREEN, JAMYCHAL",16,0,4,1,3,0,0,0,0,0,1,0,0,1,0,0,0,,5,TOR,0,4,,122,116,30.59452055,W
LAC,1/27/2021,@CHI,"BRADLEY, AVERY",28,7,4,0,4,1,1,0,2,3,6,0.5,1,1,1,0,0,,6,CHI,0,13,,117,124,30.16986301,L
LAC,2/3/2021,@SAS,"LOWRY, KYLE",34,13,4,0,4,4,0,0,3,5,13,0.3846153846,2,7,0.2857142857,1,2,0.5,5,SAS,0,21,,105,118,34.8630137,L
LAC,2/4/2021,@OKC,"SPELLMAN, OMARI",18,9,4,2,2,0,0,0,1,1,5,0.2,1,1,1,6,7,0.8571428571,0,OKC,0,13,,101,99,23.54246575,W
LAC,2/4/2021,@OKC,"PAYNE, CAMERON",25,7,4,0,4,6,0,0,0,1,6,0.1666666667,1,4,0.25,4,4,1,3,OKC,0,17,,101,99,26.49315068,W
LAC,2/7/2021,@LAL,"GREEN, JAMYCHAL",16,4,4,1,3,0,0,0,1,1,3,0.3333333333,0,1,0,2,5,0.4,2,LAL,0,8,,97,144,30.63287671,L
LAC,2/7/2021,@LAL,"GASOL, MARC",28,0,4,1,3,3,1,2,0,0,2,0,0,1,0,0,0,,5,LAL,0,10,,97,144,36.02465753,L
LAC,2/15/2021,DET,"GEORGE, PAUL",37,37,4,0,4,6,1,0,4,11,16,0.6875,5,7,0.7142857143,10,12,0.8333333333,4,DET,0,48,,116,117,30.79178082,L
LAC,2/17/2021,MEM,"SPELLMAN, OMARI",21,8,4,3,1,0,0,0,1,3,12,0.25,0,5,0,2,2,1,3,MEM,0,12,,107,98,23.57808219,W
LAC,2/18/2021,NYK,"KABENGELE, MFIONDU",31,14,4,1,3,0,1,1,0,4,10,0.4,1,6,0.1666666667,5,6,0.8333333333,3,NYK,0,20,,114,100,23.51506849,W
LAC,2/25/2021,@DEN,"PAYNE, CAMERON",24,23,4,1,3,2,0,0,3,8,11,0.7272727273,2,5,0.4,5,6,0.8333333333,1,DEN,0,29,,123,118,26.55068493,W
LAC,3/1/2021,ORL,"PAYNE, CAMERON",24,14,4,0,4,5,0,0,5,5,9,0.5555555556,2,3,0.6666666667,2,2,1,4,ORL,0,23,,110,112,26.56164384,L
LAC,3/3/2021,@NOP,"LOWRY, KYLE",31,29,4,0,4,10,2,0,1,10,14,0.7142857143,3,5,0.6,6,6,1,1,NOP,0,45,,116,135,34.93972603,L
LAC,3/3/2021,@NOP,"KORKMAZ, FURKAN",16,3,4,0,4,2,0,0,2,1,3,0.3333333333,1,2,0.5,0,0,,1,NOP,0,9,,116,135,23.60821918,L
LAC,3/6/2021,@DAL,"BRADLEY, AVERY",30,23,4,2,2,4,0,0,0,9,16,0.5625,2,2,1,3,4,0.75,4,DAL,0,31,,126,134,30.2739726,L
LAC,3/9/2021,@MIA,"BRADLEY, AVERY",34,22,4,1,3,1,2,0,3,9,21,0.4285714286,4,8,0.5,0,0,,4,MIA,0,29,,120,131,30.28219178,L
LAC,3/9/2021,@MIA,"GREEN, JAMYCHAL",15,3,4,1,3,1,1,0,0,1,2,0.5,1,1,1,0,0,,6,MIA,0,9,,120,131,30.71506849,L
LAC,3/9/2021,@MIA,"WATANABE, YUTA",12,0,4,1,3,0,0,1,1,0,0,,0,0,,0,0,,1,MIA,0,5,,120,131,26.40273973,L
LAC,3/17/2021,MIN,"WATANABE, YUTA",16,3,4,0,4,0,0,0,0,1,5,0.2,1,3,0.3333333333,0,0,,0,MIN,0,7,,134,137,26.42465753,L
LAC,3/19/2021,SAS,"BRADLEY, AVERY",31,4,4,0,4,0,4,0,2,1,9,0.1111111111,0,4,0,2,2,1,2,SAS,0,12,,111,106,30.30958904,W
LAC,3/21/2021,MIA,"PAYNE, CAMERON",20,3,4,0,4,3,1,0,4,1,11,0.09090909091,1,8,0.125,0,0,,2,MIA,0,11,,107,87,26.61643836,W
LAC,3/24/2021,@MIN,"LOWRY, KYLE",31,22,4,1,3,5,1,0,2,7,16,0.4375,6,12,0.5,2,2,1,2,MIN,0,32,,110,121,34.99726027,L
LAC,3/24/2021,@MIN,"GASOL, MARC",32,4,4,2,2,4,2,0,3,2,8,0.25,0,4,0,0,0,,3,MIN,0,14,,110,121,36.14794521,L
LAC,3/27/2021,@PHI,"GEORGE, PAUL",37,29,4,1,3,5,2,1,1,12,26,0.4615384615,2,9,0.2222222222,3,3,1,4,PHI,0,41,,105,114,30.90136986,L
LAC,3/29/2021,@BOS,"GEORGE, PAUL",34,45,4,0,4,5,1,1,0,16,27,0.5925925926,5,7,0.7142857143,8,8,1,1,BOS,0,56,,118,134,30.90684932,L
LAC,3/29/2021,@BOS,"LOWRY, KYLE",31,22,4,0,4,3,0,0,0,8,18,0.4444444444,4,7,0.5714285714,2,2,1,2,BOS,0,29,,118,134,35.0109589,L
LAC,4/9/2021,MEM,"WARREN, TJ",33,12,4,1,3,0,2,0,2,4,8,0.5,2,3,0.6666666667,2,2,1,3,MEM,0,18,,114,104,27.59178082,W
LAC,4/13/2021,DEN,"WARREN, TJ",33,14,4,1,3,0,2,0,1,7,14,0.5,0,6,0,0,0,,5,DEN,0,20,,115,129,27.60273973,L
LAC,4/13/2021,DEN,"RANDLE, JULIUS",29,10,4,0,4,3,0,0,4,4,11,0.3636363636,1,3,0.3333333333,1,3,0.3333333333,1,DEN,0,17,,115,129,26.36986301,L
LAC,4/15/2021,PHI,"GREEN, JAMYCHAL",25,7,4,1,3,1,0,0,3,2,3,0.6666666667,2,2,1,1,2,0.5,3,PHI,0,12,,107,105,30.81643836,W
LAC,4/15/2021,PHI,"WISEMAN, JAMES",20,5,4,1,3,1,2,2,2,2,9,0.2222222222,0,0,,1,2,0.5,4,PHI,0,14,,107,105,20.04109589,W
LAC,4/19/2021,@HOU,"RANDLE, JULIUS",30,14,4,0,4,5,0,0,4,6,14,0.4285714286,2,3,0.6666666667,0,0,,4,HOU,0,23,,101,112,26.38630137,L
LAC,4/19/2021,@HOU,"GREEN, JAMYCHAL",16,5,4,2,2,0,0,0,2,2,3,0.6666666667,1,1,1,0,0,,2,HOU,0,9,,101,112,30.82739726,L
LAC,4/19/2021,@HOU,"BIYOMBO, BISMACK",11,3,4,2,2,0,0,1,0,1,1,1,0,0,,1,2,0.5,2,HOU,0,8,,101,112,28.64109589,L
LAC,4/22/2021,LAL,"WISEMAN, JAMES",23,4,4,2,2,0,0,1,1,2,8,0.25,0,0,,0,0,,2,LAL,0,9,,105,117,20.06027397,L
LAC,4/22/2021,LAL,"BIYOMBO, BISMACK",11,0,4,0,4,0,1,1,0,0,1,0,0,0,,0,0,,1,LAL,0,6,,105,117,28.64931507,L
LAC,4/24/2021,@GSW,"LOWRY, KYLE",36,15,4,1,3,8,2,0,1,6,13,0.4615384615,3,8,0.375,0,0,,4,GSW,0,29,,95,121,35.08219178,L
LAC,4/24/2021,@GSW,"SABONIS, DOMANTAS",30,14,4,0,4,2,0,0,2,7,12,0.5833333333,0,0,,0,0,,3,GSW,0,20,,95,121,24.97534247,L
LAC,5/2/2021,@DEN,"LOWRY, KYLE",31,10,4,1,3,9,2,0,0,4,11,0.3636363636,2,7,0.2857142857,0,0,,5,DEN,0,25,,104,128,35.10410959,L
LAC,5/12/2021,@CHA,"LOWRY, KYLE",36,17,4,0,4,8,2,0,2,6,10,0.6,2,5,0.4,3,3,1,0,CHA,0,31,,120,99,35.13150685,W
LAC,5/14/2021,IND,"GREEN, JAMYCHAL",15,2,4,1,3,0,0,0,0,1,2,0.5,0,0,,0,0,,0,IND,0,6,,104,118,30.89589041,L
LAC,5/14/2021,IND,"BIYOMBO, BISMACK",11,0,4,0,4,0,0,1,0,0,2,0,0,0,,0,0,,2,IND,0,5,,104,118,28.70958904,L
LAC,5/17/2021,@SAC,"WISEMAN, JAMES",23,12,4,0,4,1,0,1,3,6,9,0.6666666667,0,0,,0,0,,3,SAC,0,18,,110,121,20.12876712,L
LAC,5/17/2021,@SAC,"REDDISH, CAM",31,8,4,0,4,3,1,0,1,3,7,0.4285714286,2,3,0.6666666667,0,0,,3,SAC,0,16,,110,121,21.70684932,L
